nickname,seasons_played,avg_winrate,avg_finish_ms,best_finish_ms,avg_consistency,avg_elo,avg_matches
7rowl,8,0.6575591716067845,613623.9058183176,42882.0,0.759034839877239,2273.0,108.25
ANJOUU,2,0.5015989340439707,640410.0225344645,11744.0,0.6533297083616774,2231.0,87.0
Ancoboyy,6,0.49897802832629906,622329.7204014802,3754.0,0.7449660784205755,2179.0,108.0
Aquacorde,4,0.6360488853075477,583087.8523539889,113648.0,0.7811996718129294,2252.0,76.5
AutomattPLUS,3,0.6851028806584362,650867.9422619864,165039.0,0.7391559844178786,2066.0,72.0
Ayreliaa,1,0.4032258064516129,664139.92,384498.0,0.8070852875826652,,62.0
BadGamer,1,0.6282051282051282,545983.1224489796,33238.0,0.7221964232416183,2408.0,78.0
BeefSalad,6,0.4868605991265762,595696.7470533933,3357.0,0.7075535667072138,2097.0,125.83333333333333
BlazeMind,1,0.5056179775280899,556272.4666666667,242455.0,0.809023099435801,2362.0,89.0
Bloonskiller,1,0.4782608695652174,805185.5,321072.0,0.7357711400503189,2232.0,46.0
CroProYT,2,0.7277777777777777,753399.4264705882,204038.0,0.6605183478446377,1930.0,32.5
Cube1337x,1,0.5666666666666667,629503.5098039216,97048.0,0.6921621975128042,1846.0,90.0
DARVY__X1,1,0.5576923076923077,536938.7413793104,96283.0,0.7420694642171517,2304.0,104.0
Dylqn,1,0.5052631578947369,775210.8333333334,152261.0,0.7617751639353707,1441.0,95.0
Emillk,1,0.5463917525773195,793611.0566037736,202391.0,0.7115243163495408,1763.0,97.0
Erikfzf,1,0.48484848484848486,620309.2291666666,160434.0,0.7188633196762162,2256.0,99.0
Feinberg,4,0.5719918569204508,657807.2873968164,117058.0,0.5704350922528089,2462.0,90.0
HDMICables,1,0.5846153846153846,531772.947368421,103050.0,0.7555919915335785,2208.0,65.0
Hinart,1,0.6021505376344086,581848.9821428572,72358.0,0.6384545407079036,1846.0,93.0
Infume,3,0.6004444552289208,534919.2240092376,7689.0,0.817629329449422,2397.0,118.33333333333333
KenanKardes,2,0.5223577235772358,601750.5342674383,125128.0,0.7529874956623499,2110.0,110.5
MoleyG,1,0.41414141414141414,718046.5609756098,4590.0,0.6714638260145597,1895.0,99.0
MrBudgiee,1,0.6626506024096386,674629.8909090909,125369.0,0.6200321262342914,2086.0,83.0
Oxidiot,6,0.5825481012004537,613990.0196526679,17186.0,0.7153417460177165,2200.0,88.16666666666667
Pinne,1,0.8,599811.25,327041.0,0.7848088423281567,2176.0,10.0
Ranik_,3,0.566922781009328,715922.7972188876,4717.0,0.6401939138963958,2059.0,103.33333333333333
Reignex,1,0.75,688958.6666666666,136219.0,0.6001094586912883,,96.0
TUDORULE,3,0.49920703900423846,594181.4548142718,161446.0,0.784748202671925,2274.0,116.0
autoqualler,1,0.47474747474747475,655612.2553191489,108984.0,0.6353322821134728,1768.0,99.0
bing_pigs,7,0.5554922493948994,591375.7781088365,3459.0,0.7255051630538467,2409.0,123.14285714285714
dandannyboy,6,0.47290082932248517,633409.3848836414,3896.0,0.6595712046678831,1932.0,100.83333333333333
doogile,9,0.6373660425540781,571198.1192074763,0.0,0.7124958189814079,2385.0,100.0
drx6,1,0.5529411764705883,712361.4042553192,63767.0,0.6419155818473822,1831.0,85.0
dwoh,1,0.37349397590361444,688469.8709677419,146068.0,0.725847964072617,1819.0,83.0
edcr,2,0.5467914438502673,536286.9309941521,134944.0,0.7664941916066096,2600.0,100.0
hackingnoises,7,0.6241034863877593,570625.8560810434,8955.0,0.7212557813978171,2480.0,87.85714285714286
kW1st,1,0.48598130841121495,695231.5961538461,169578.0,0.6102067885957054,1747.0,107.0
loodlow,1,0.5192307692307693,610987.0,3884.0,0.5333020361675845,2177.0,52.0
lowk3y_,9,0.6756329611334172,607855.97188337,19890.0,0.7692140580573021,2387.0,96.44444444444444
nahhann,1,0.6507936507936508,524789.756097561,218156.0,0.8174856358478535,2402.0,63.0
nhb_,1,0.49038461538461536,558091.5490196078,342783.0,0.8498940194481106,2278.0,104.0
orachi_,1,0.7636363636363637,659264.9761904762,106056.0,0.6986200746037687,2004.0,55.0
paplerr,2,0.5259103641456583,658821.4209183673,26794.0,0.6717002382174591,2072.0,100.0
priffie,5,0.5929668748786994,663453.732225987,6127.0,0.5053158496349051,,94.6
pulsar32,2,0.44888617638083617,596369.830749354,31847.0,0.5652397432377654,,100.0
r7sD4fH6jK0wY5uB,1,0.5151515151515151,552975.1960784313,12380.0,0.6733224144406793,2008.0,99.0
retropog,1,0.5797101449275363,545105.9,88148.0,0.6984224190016737,1977.0,69.0
silverrruns,8,0.5694264998029006,612091.6482521667,30984.0,0.6262180290334394,2260.0,96.5
steez,1,0.5517241379310345,571773.1041666666,210112.0,0.7993644301243965,2432.0,87.0
v_strid,4,0.4581610882382249,635555.7228043082,13974.0,0.7280493806232922,2364.0,181.25
