nickname,season,matches_played,wins,losses,winrate,avg_finish_ms,best_finish_ms,consistency_score,forfeit_rate,elo_at_season_end
silverrruns,1,115,55,60,0.4782608695652174,583623.9454545454,50506.0,0.6857194555957395,0.3565217391304348,2260.0
dandannyboy,1,72,24,48,0.3333333333333333,572516.5416666666,64251.0,0.4735947629506714,0.5833333333333334,1932.0
Oxidiot,1,83,50,33,0.6024096385542169,690247.68,28037.0,0.7256634361919905,0.18072289156626506,2200.0
Reignex,1,96,72,24,0.75,688958.6666666666,136219.0,0.6001094586912883,0.3229166666666667,
priffie,1,105,61,44,0.580952380952381,682319.4262295082,6127.0,0.6674325223891535,0.2857142857142857,
orachi_,1,55,42,13,0.7636363636363637,659264.9761904762,106056.0,0.6986200746037687,0.8,2004.0
lowk3y_,1,87,54,33,0.6206896551724138,716197.3888888889,183818.0,0.7464375659592981,0.22988505747126436,2387.0
7rowl,1,104,69,35,0.6634615384615384,656155.1449275363,197348.0,0.7207184627782413,0.3557692307692308,2273.0
doogile,1,116,69,47,0.5948275862068966,607283.6666666666,659.0,0.6108087739092092,0.31896551724137934,2385.0
Ancoboyy,1,122,60,62,0.4918032786885246,711095.9,201520.0,0.7723009324933828,0.4672131147540984,2179.0
pulsar32,1,87,45,42,0.5172413793103449,628820.7777777778,31847.0,0.5013565499003214,0.4367816091954023,
Ranik_,1,94,56,38,0.5957446808510638,819159.3571428572,137925.0,0.7261849006622536,0.30851063829787234,2059.0
MoleyG,1,99,41,58,0.41414141414141414,718046.5609756098,4590.0,0.6714638260145597,0.42424242424242425,1895.0
CroProYT,1,45,34,11,0.7555555555555555,723418.8529411765,204038.0,0.6456000986090398,0.35555555555555557,1930.0
Dylqn,1,95,48,47,0.5052631578947369,775210.8333333334,152261.0,0.7617751639353707,0.14736842105263157,1441.0
lowk3y_,2,77,59,18,0.7662337662337663,706155.6271186441,25294.0,0.7092382777056181,0.6753246753246753,2387.0
CroProYT,2,20,14,6,0.7,783380.0,226234.0,0.6754365970802355,0.35,1930.0
dandannyboy,2,118,54,64,0.4576271186440678,666483.8148148148,182927.0,0.7075444953248999,0.2711864406779661,1932.0
doogile,2,85,63,22,0.7411764705882353,676119.253968254,147633.0,0.7863112274130283,0.29411764705882354,2385.0
7rowl,2,106,68,38,0.6415094339622641,666436.2205882353,42882.0,0.7160493093140885,0.3113207547169811,2273.0
kW1st,2,107,52,55,0.48598130841121495,695231.5961538461,169578.0,0.6102067885957054,0.3644859813084112,1747.0
priffie,2,107,65,42,0.6074766355140186,687249.7692307692,119229.0,0.6816496584673839,0.3177570093457944,
dwoh,2,83,31,52,0.37349397590361444,688469.8709677419,146068.0,0.725847964072617,0.6265060240963856,1819.0
silverrruns,2,85,61,24,0.7176470588235294,672221.868852459,220997.0,0.7264818935823104,0.25882352941176473,2260.0
Emillk,2,97,53,44,0.5463917525773195,793611.0566037736,202391.0,0.7115243163495408,0.26804123711340205,1763.0
bing_pigs,2,121,64,57,0.5289256198347108,694328.359375,131227.0,0.7112094755431932,0.32231404958677684,2409.0
drx6,2,85,47,38,0.5529411764705883,712361.4042553192,63767.0,0.6419155818473822,0.23529411764705882,1831.0
Ancoboyy,2,95,54,41,0.5684210526315789,640208.1851851852,120254.0,0.7183186696560381,0.49473684210526314,2179.0
Ranik_,2,134,68,66,0.5074626865671642,691128.2794117647,4717.0,0.6660329896831063,0.2835820895522388,2059.0
Oxidiot,2,94,55,39,0.5851063829787234,643621.0909090909,174367.0,0.7039231161644861,0.2765957446808511,2200.0
7rowl,3,113,81,32,0.7168141592920354,642720.5432098765,164390.0,0.7373083755391128,0.25663716814159293,2273.0
Ancoboyy,3,109,58,51,0.5321100917431193,626508.6551724138,166909.0,0.7154704005384986,0.45871559633027525,2179.0
dandannyboy,3,96,55,41,0.5729166666666666,676765.2909090909,7947.0,0.6820238072705467,0.23958333333333334,1932.0
doogile,3,112,77,35,0.6875,590579.1428571428,8602.0,0.49207665354799646,0.4017857142857143,2385.0
hackingnoises,3,100,68,32,0.68,663420.7058823529,8955.0,0.6668115192066069,0.29,2480.0
lowk3y_,3,155,101,54,0.6516129032258065,651607.8415841584,174261.0,0.7722170864476294,0.2,2387.0
Oxidiot,3,120,69,51,0.575,641679.0144927537,78205.0,0.7436402852922335,0.35,2200.0
priffie,3,92,59,33,0.6413043478260869,729479.8813559322,79046.0,-0.2097840760139853,0.3695652173913043,
ANJOUU,3,95,46,49,0.4842105263157895,683259.6304347826,101196.0,0.640695366719901,0.23157894736842105,2231.0
BeefSalad,3,138,61,77,0.4420289855072464,648232.1967213114,3357.0,0.6641314049016326,0.41304347826086957,2097.0
Bloonskiller,3,46,22,24,0.4782608695652174,805185.5,321072.0,0.7357711400503189,0.21739130434782608,2232.0
loodlow,3,52,27,25,0.5192307692307693,610987.0,3884.0,0.5333020361675845,0.7115384615384616,2177.0
paplerr,3,102,49,53,0.4803921568627451,672899.8775510204,68791.0,0.6691911064077352,0.3137254901960784,2072.0
v_strid,3,141,59,82,0.41843971631205673,697669.0847457628,180673.0,0.7289462573886583,0.2695035460992908,2364.0
