player1,player2,players_count,results_ranked,results_casual,changes_17e787d1d6374f818b294f2319db370d,changes_e4808bc3e1e347988cbb59b55d723e0f,changes_562a308be86c4ec09438387860e792cc,changes_a536eec9a68e4d309cd09f5af4c006a7,changes_af22aaab9ee74596a3578bd6345d25b5,changes_56714245be364bd1a469d0853552c109,changes_7665f76f431b41c6b321bea16aff913b,changes_70eb9286e3e24153a8b37c8f884f1292,changes_3c8757790ab0400b8b9e3936e0dd535b,changes_bc80af38933f4ae19b0494681a54422b,changes_4863326cccf043ecbb8ff88628bed781,changes_5ee577fdc1af45d3a6fb3e086cc293fb,changes_fa1bec35058546c98f9279f8be7cf9bc,changes_4129d8d1aafb4e73b97b9999db248060,changes_fa61606e8131484c8dee506d1ff9a8dc,changes_2f59967f6a7841ab840e2cb032589a04,changes_4427794ee7ad48bc9b53c156fa4092e1,changes_3910d98bea254b488a10d6e91e469f7e,changes_99aa9e0e8034479a90259e244dfb9029,changes_92b63a39b36a445fa94c77ae212dcea3,changes_736dbdc44a3e452fa489f5344565835e,changes_7c92678742eb4e819f3122017697ae3d,changes_625146b684804a29af2eaeb483a59ddf,changes_3b01d4b4fef14f178b75f05c04dd34ef,changes_00f996cd910f479ba0903d85c2bdb1e0,changes_9dcb17d831b24df2bae778cfd750ab1b,changes_c670041ed84c480cab4a6ee904905b5f,changes_388533d5a2ad4b349a31db4738670a4b,changes_dd34e44dfe5d4e05923d876b9c34ca5f,changes_2988fcfbc6b141a497faa915e13b6592,changes_25d4de4fe37248f0bba16b43ca1994bb,changes_1ae14cb96a2f4357a71efac6f7012b59,changes_78a8ec9f99d34371b73decd2a78ff9b0,changes_253b53d832ab4bafb5ee0308d5164ccf,changes_0b164a03002048d3955715422179eedf,changes_b5ae858c09384b79989ea305a4b5cedf,changes_9a8e24df4c8549d696a6951da84fa5c4,changes_0d0f007a376a462299bf23f2f713b0e5,changes_c32cdd142a0147dcb91771319d745194,changes_4cf401d7b9474756b06a653867d22fca,changes_a54e3bc4c6354b07a236b81efbcfe791,changes_25349f93cf194f3baeee93d024eccc21,changes_8b6de3393be345fdb8dcf0959f42f457,changes_5a32f1e5609847c691c07730f973397c,changes_635f35ee69ed4f0c94ff26ece4818956,changes_a5d83ff042164ff1b862dedc118c1dae,changes_2fe70934e7be458dba747c4ac830391c,changes_aa5a894a4d5340f49683fdfd1ea9c523,changes_2ef2bfed3d084649b56290328970ace9,changes_0c3cc22849a343b0964a89ac842fa3ca,changes_ac601ce7376f49cea7ce14cd577dac85
silverrruns,dandannyboy,2,"{'total': 23, '17e787d1d6374f818b294f2319db370d': 14, 'e4808bc3e1e347988cbb59b55d723e0f': 8}","{'total': 0, '17e787d1d6374f818b294f2319db370d': 0, 'e4808bc3e1e347988cbb59b55d723e0f': 0}",37.0,-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,Oxidiot,2,"{'total': 0, '562a308be86c4ec09438387860e792cc': 0, '17e787d1d6374f818b294f2319db370d': 0}","{'total': 0, '562a308be86c4ec09438387860e792cc': 0, '17e787d1d6374f818b294f2319db370d': 0}",0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,Reignex,2,"{'total': 0, 'a536eec9a68e4d309cd09f5af4c006a7': 0, '17e787d1d6374f818b294f2319db370d': 0}","{'total': 0, 'a536eec9a68e4d309cd09f5af4c006a7': 0, '17e787d1d6374f818b294f2319db370d': 0}",0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,priffie,2,"{'total': 0, 'af22aaab9ee74596a3578bd6345d25b5': 0, '17e787d1d6374f818b294f2319db370d': 0}","{'total': 0, 'af22aaab9ee74596a3578bd6345d25b5': 0, '17e787d1d6374f818b294f2319db370d': 0}",0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,orachi_,2,"{'total': 0, '56714245be364bd1a469d0853552c109': 0, '17e787d1d6374f818b294f2319db370d': 0}","{'total': 0, '56714245be364bd1a469d0853552c109': 0, '17e787d1d6374f818b294f2319db370d': 0}",0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,lowk3y_,2,"{'total': 0, '7665f76f431b41c6b321bea16aff913b': 0, '17e787d1d6374f818b294f2319db370d': 0}","{'total': 0, '7665f76f431b41c6b321bea16aff913b': 0, '17e787d1d6374f818b294f2319db370d': 0}",0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,7rowl,2,"{'total': 4, '17e787d1d6374f818b294f2319db370d': 1, '70eb9286e3e24153a8b37c8f884f1292': 3}","{'total': 0, '17e787d1d6374f818b294f2319db370d': 0, '70eb9286e3e24153a8b37c8f884f1292': 0}",-32.0,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,doogile,2,"{'total': 15, '17e787d1d6374f818b294f2319db370d': 5, '3c8757790ab0400b8b9e3936e0dd535b': 9}","{'total': 0, '17e787d1d6374f818b294f2319db370d': 0, '3c8757790ab0400b8b9e3936e0dd535b': 0}",-35.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,Ancoboyy,2,"{'total': 1, '17e787d1d6374f818b294f2319db370d': 0, 'bc80af38933f4ae19b0494681a54422b': 1}","{'total': 0, '17e787d1d6374f818b294f2319db370d': 0, 'bc80af38933f4ae19b0494681a54422b': 0}",-16.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverrruns,pulsar32,2,"{'total': 0, '4863326cccf043ecbb8ff88628bed781': 0, '17e787d1d6374f818b294f2319db370d': 0}","{'total': 0, '4863326cccf043ecbb8ff88628bed781': 0, '17e787d1d6374f818b294f2319db370d': 0}",0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
