nickname,season,uuid,elo_rate,elo_rank,country
silverrruns,1,17e787d1d6374f818b294f2319db370d,2260.0,18.0,ca
dandannyboy,1,e4808bc3e1e347988cbb59b55d723e0f,1932.0,109.0,ca
Oxidiot,1,562a308be86c4ec09438387860e792cc,2200.0,31.0,us
Reignex,1,a536eec9a68e4d309cd09f5af4c006a7,,,
priffie,1,af22aaab9ee74596a3578bd6345d25b5,,,
orachi_,1,56714245be364bd1a469d0853552c109,2004.0,82.0,il
lowk3y_,1,7665f76f431b41c6b321bea16aff913b,2387.0,10.0,
7rowl,1,70eb9286e3e24153a8b37c8f884f1292,2273.0,17.0,ua
doogile,1,3c8757790ab0400b8b9e3936e0dd535b,2385.0,11.0,us
Ancoboyy,1,bc80af38933f4ae19b0494681a54422b,2179.0,36.0,tr
pulsar32,1,4863326cccf043ecbb8ff88628bed781,,,cf
Ranik_,1,5ee577fdc1af45d3a6fb3e086cc293fb,2059.0,67.0,il
MoleyG,1,fa1bec35058546c98f9279f8be7cf9bc,1895.0,131.0,au
CroProYT,1,4129d8d1aafb4e73b97b9999db248060,1930.0,111.0,hr
AutomattPL,1,fa61606e8131484c8dee506d1ff9a8dc,,,
Dylqn,1,2f59967f6a7841ab840e2cb032589a04,1441.0,1018.0,us
lowk3y_,2,7665f76f431b41c6b321bea16aff913b,2387.0,10.0,
CroProYT,2,4129d8d1aafb4e73b97b9999db248060,1930.0,111.0,hr
dandannyboy,2,e4808bc3e1e347988cbb59b55d723e0f,1932.0,109.0,ca
doogile,2,3c8757790ab0400b8b9e3936e0dd535b,2385.0,11.0,us
7rowl,2,70eb9286e3e24153a8b37c8f884f1292,2273.0,17.0,ua
kW1st,2,4427794ee7ad48bc9b53c156fa4092e1,1747.0,239.0,ru
priffie,2,af22aaab9ee74596a3578bd6345d25b5,,,
dwoh,2,3910d98bea254b488a10d6e91e469f7e,1819.0,184.0,kr
silverrruns,2,17e787d1d6374f818b294f2319db370d,2260.0,18.0,ca
Emillk,2,99aa9e0e8034479a90259e244dfb9029,1763.0,221.0,yt
bing_pigs,2,92b63a39b36a445fa94c77ae212dcea3,2409.0,6.0,au
drx6,2,736dbdc44a3e452fa489f5344565835e,1831.0,173.0,nz
Ancoboyy,2,bc80af38933f4ae19b0494681a54422b,2179.0,36.0,tr
Ranik_,2,5ee577fdc1af45d3a6fb3e086cc293fb,2059.0,67.0,il
Oxidiot,2,562a308be86c4ec09438387860e792cc,2200.0,31.0,us
AutomattPL,2,fa61606e8131484c8dee506d1ff9a8dc,,,
7rowl,3,70eb9286e3e24153a8b37c8f884f1292,2273.0,17.0,ua
Ancoboyy,3,bc80af38933f4ae19b0494681a54422b,2179.0,36.0,tr
dandannyboy,3,e4808bc3e1e347988cbb59b55d723e0f,1932.0,109.0,ca
doogile,3,3c8757790ab0400b8b9e3936e0dd535b,2385.0,11.0,us
hackingnoises,3,7c92678742eb4e819f3122017697ae3d,2480.0,2.0,hk
lowk3y_,3,7665f76f431b41c6b321bea16aff913b,2387.0,10.0,
Oxidiot,3,562a308be86c4ec09438387860e792cc,2200.0,31.0,us
priffie,3,af22aaab9ee74596a3578bd6345d25b5,,,
ANJOUU,3,625146b684804a29af2eaeb483a59ddf,2231.0,23.0,se
AutomattPL,3,fa61606e8131484c8dee506d1ff9a8dc,,,
BeefSalad,3,3b01d4b4fef14f178b75f05c04dd34ef,2097.0,54.0,gb
Bloonskiller,3,00f996cd910f479ba0903d85c2bdb1e0,2232.0,22.0,
loodlow,3,9dcb17d831b24df2bae778cfd750ab1b,2177.0,37.0,ua
paplerr,3,c670041ed84c480cab4a6ee904905b5f,2072.0,60.0,se
v_strid,3,388533d5a2ad4b349a31db4738670a4b,2364.0,12.0,se
autoqualler,3,dd34e44dfe5d4e05923d876b9c34ca5f,1768.0,215.0,us
7rowl,4,70eb9286e3e24153a8b37c8f884f1292,2273.0,17.0,ua
Ancoboyy,4,bc80af38933f4ae19b0494681a54422b,2179.0,36.0,tr
dandannyboy,4,e4808bc3e1e347988cbb59b55d723e0f,1932.0,109.0,ca
doogile,4,3c8757790ab0400b8b9e3936e0dd535b,2385.0,11.0,us
AutomattPLUS,4,2988fcfbc6b141a497faa915e13b6592,2066.0,64.0,pl
hackingnoises,4,7c92678742eb4e819f3122017697ae3d,2480.0,2.0,hk
Hinart,4,25d4de4fe37248f0bba16b43ca1994bb,1846.0,162.0,ua
lowk3y_,4,7665f76f431b41c6b321bea16aff913b,2387.0,10.0,
Oxidiot,4,562a308be86c4ec09438387860e792cc,2200.0,31.0,us
paplerr,4,c670041ed84c480cab4a6ee904905b5f,2072.0,60.0,se
priffie,4,af22aaab9ee74596a3578bd6345d25b5,,,
silverrruns,4,17e787d1d6374f818b294f2319db370d,2260.0,18.0,ca
ANJOUU,4,625146b684804a29af2eaeb483a59ddf,2231.0,23.0,se
bing_pigs,4,92b63a39b36a445fa94c77ae212dcea3,2409.0,6.0,au
Cube1337x,4,1ae14cb96a2f4357a71efac6f7012b59,1846.0,162.0,fi
v_strid,4,388533d5a2ad4b349a31db4738670a4b,2364.0,12.0,se
7rowl,5,70eb9286e3e24153a8b37c8f884f1292,2273.0,17.0,ua
